districtid,timeid,cases
BR_Lakhisarai,14,755
BR_Lakhisarai,15,136
BR_Lakhisarai,16,36
BR_Madhepura,1,9
BR_Madhepura,2,133
BR_Madhepura,3,141
BR_Madhepura,4,1035
BR_Madhepura,5,1314
BR_Madhepura,6,1224
BR_Madhepura,7,628
BR_Madhepura,8,245
BR_Madhepura,9,123
BR_Madhepura,10,26
BR_Madhepura,11,14
BR_Madhepura,12,268
BR_Madhepura,13,5440
BR_Madhepura,14,1703
BR_Madhepura,15,174
BR_Madhepura,16,46
BR_Munger,1,122
BR_Munger,2,148
BR_Munger,3,424
BR_Munger,4,1190
BR_Munger,5,735
BR_Munger,6,659
BR_Munger,7,555
BR_Munger,8,236
BR_Munger,9,150
BR_Munger,10,39
BR_Munger,11,27
BR_Munger,12,701
BR_Munger,13,8033
BR_Munger,14,1962
BR_Munger,15,103
BR_Munger,16,18
BR_Nalanda,1,66
BR_Nalanda,2,82
BR_Nalanda,3,511
BR_Nalanda,4,2943
BR_Nalanda,5,1538
BR_Nalanda,6,1354
BR_Nalanda,7,969
BR_Nalanda,8,416
BR_Nalanda,9,380
BR_Nalanda,10,75
BR_Nalanda,11,35
BR_Nalanda,12,492
BR_Nalanda,13,11796
BR_Nalanda,14,2580
BR_Nalanda,15,142
BR_Nalanda,16,45
BR_Nawada,1,24
BR_Nawada,2,158
BR_Nawada,3,477
BR_Nawada,4,1155
BR_Nawada,5,634
BR_Nawada,6,614
BR_Nawada,7,620
BR_Nawada,8,305
BR_Nawada,9,221
BR_Nawada,10,33
BR_Nawada,11,88
BR_Nawada,12,379
BR_Nawada,13,4659
BR_Nawada,14,826
BR_Nawada,15,115
BR_Nawada,16,37
BR_Patna,1,99
BR_Patna,2,230
BR_Patna,3,1930
BR_Patna,4,13609
BR_Patna,5,8322
BR_Patna,6,7332
BR_Patna,7,7569
BR_Patna,8,6119
BR_Patna,9,5926
BR_Patna,10,1461
BR_Patna,11,429
BR_Patna,12,11764
BR_Patna,13,67757
BR_Patna,14,13198
BR_Patna,15,879
BR_Patna,16,222
BR_Rohtas,1,77
BR_Rohtas,2,205
BR_Rohtas,3,240
BR_Rohtas,4,2995
BR_Rohtas,5,1335
BR_Rohtas,6,1090
BR_Rohtas,7,416
BR_Rohtas,8,225
BR_Rohtas,9,207
BR_Rohtas,10,58
BR_Rohtas,11,18
BR_Rohtas,12,523
BR_Rohtas,13,5742
BR_Rohtas,14,695
