Node1,Node2
CH_chandigarh,PB_s.a.s. nagar
CT_balod,CT_dhamtari
CT_balod,CT_durg
CT_balod,CT_rajnandgaon
CT_balod,CT_uttar bastar kanker
CT_baloda bazar,CT_bametara
CT_baloda bazar,CT_janjgir champa
CT_baloda bazar,CT_mahasamund
CT_baloda bazar,CT_mungeli
CT_baloda bazar,CT_raigarh
CT_baloda bazar,CT_raipur
CT_baloda bazar,HP_bilaspur
CT_bametara,CT_durg
CT_bametara,CT_kabeerdham
CT_bametara,CT_mungeli
CT_bametara,CT_raipur
CT_bametara,CT_rajnandgaon
CT_bastar,CT_dakshin bastar dantewada
CT_bastar,CT_kondagaon
CT_bastar,CT_sukma
CT_bastar,OR_koraput
CT_bastar,OR_malkangiri
CT_bastar,OR_nabarangapur
CT_bijapur,KA_bagalkote
CT_bijapur,KA_belagavi
CT_bijapur,KA_kalaburagi
CT_bijapur,KA_raichur
CT_bijapur,KA_yadgir
CT_bijapur,MH_sangli
CT_bijapur,MH_solapur
CT_dakshin bastar dantewada,CT_bijapur
CT_dakshin bastar dantewada,CT_kondagaon
CT_dakshin bastar dantewada,CT_narayanpur
CT_dakshin bastar dantewada,CT_sukma
CT_dhamtari,CT_durg
CT_dhamtari,CT_gariaband
CT_dhamtari,CT_kondagaon
CT_dhamtari,CT_raipur
CT_dhamtari,CT_uttar bastar kanker
CT_dhamtari,OR_nabarangapur
CT_durg,CT_raipur
CT_durg,CT_rajnandgaon
CT_gariaband,CT_mahasamund
CT_gariaband,CT_raipur
CT_gariaband,OR_kalahandi
CT_gariaband,OR_nabarangapur
CT_gariaband,OR_nuapada
CT_janjgir champa,CT_korba
CT_janjgir champa,CT_raigarh
CT_janjgir champa,HP_bilaspur
CT_jashpur,CT_raigarh
CT_jashpur,CT_surguja
CT_jashpur,JH_gumla
CT_jashpur,JH_simdega
CT_jashpur,OR_sundargarh
CT_jashpur,UP_balrampur
CT_kabeerdham,CT_mungeli
CT_kabeerdham,CT_rajnandgaon
CT_kabeerdham,MP_balaghat
CT_kabeerdham,MP_dindori
CT_kabeerdham,MP_mandla
CT_kondagaon,CT_narayanpur
CT_kondagaon,CT_uttar bastar kanker
CT_kondagaon,OR_nabarangapur
CT_korba,CT_koriya
CT_korba,CT_raigarh
CT_korba,CT_surajpur
CT_korba,CT_surguja
CT_korba,HP_bilaspur
CT_koriya,CT_surajpur
CT_koriya,HP_bilaspur
CT_koriya,MP_anuppur
CT_koriya,MP_shahdol
CT_koriya,MP_sidhi
CT_koriya,MP_singrauli
CT_mahasamund,CT_raigarh
CT_mahasamund,CT_raipur
CT_mahasamund,OR_bargarh
CT_mahasamund,OR_nuapada
CT_mungeli,HP_bilaspur
CT_mungeli,MP_anuppur
CT_mungeli,MP_dindori
CT_narayanpur,CT_bijapur
CT_narayanpur,CT_uttar bastar kanker
CT_narayanpur,MH_gadchiroli
CT_raigarh,CT_surguja
CT_raigarh,OR_bargarh
CT_raigarh,OR_jharsuguda
CT_raigarh,OR_sundargarh
CT_rajnandgaon,CT_uttar bastar kanker
CT_rajnandgaon,MH_gadchiroli
CT_rajnandgaon,MH_gondia
CT_rajnandgaon,MP_balaghat
CT_sukma,CT_bijapur
CT_sukma,OR_malkangiri
CT_sukma,TG_bhadradri kothagudem
CT_surajpur,CT_surguja
CT_surajpur,MP_singrauli
CT_surajpur,UP_balrampur
CT_surguja,UP_balrampur
CT_uttar bastar kanker,MH_gadchiroli
DL_central delhi,DL_east delhi
DL_central delhi,DL_new delhi
DL_central delhi,DL_north delhi
DL_central delhi,DL_north east delhi
DL_central delhi,DL_north west delhi
DL_central delhi,DL_shahdara
DL_central delhi,DL_south east delhi
DL_central delhi,DL_west delhi
DL_east delhi,DL_shahdara
DL_east delhi,DL_south east delhi
DL_east delhi,UP_gautam buddha nagar
DL_east delhi,UP_ghaziabad
DL_new delhi,DL_south delhi
DL_new delhi,DL_south east delhi
DL_new delhi,DL_south west delhi
DL_new delhi,DL_west delhi
DL_new delhi,HR_gurugram
DL_north delhi,DL_north east delhi
DL_north delhi,DL_north west delhi
DL_north delhi,HR_sonipat
DL_north delhi,UP_baghpat
DL_north delhi,UP_ghaziabad
DL_north east delhi,DL_shahdara
DL_north east delhi,UP_ghaziabad
DL_north west delhi,DL_west delhi
DL_north west delhi,HR_jhajjar
DL_north west delhi,HR_sonipat
DL_shahdara,UP_ghaziabad
DL_south delhi,DL_south east delhi
DL_south delhi,HR_faridabad
DL_south delhi,HR_gurugram
DL_south east delhi,HR_faridabad
DL_south east delhi,UP_gautam buddha nagar
DL_south west delhi,DL_west delhi
DL_south west delhi,HR_gurugram
DL_south west delhi,HR_jhajjar
DL_west delhi,HR_jhajjar
DN_dadra and nagar haveli,GJ_valsad
DN_dadra and nagar haveli,MH_palghar
DN_daman,GJ_valsad
DN_diu,GJ_gir somnath
GA_north goa,GA_south goa
GA_north goa,KA_belagavi
GA_north goa,KA_uttara kannada
GA_north goa,MH_sindhudurg
GA_south goa,KA_uttara kannada
GJ_ahmedabad,GJ_anand
GJ_ahmedabad,GJ_bhavnagar
GJ_ahmedabad,GJ_botad
GJ_ahmedabad,GJ_gandhinagar
GJ_ahmedabad,GJ_kheda
GJ_ahmedabad,GJ_mehsana
GJ_ahmedabad,GJ_surendranagar
GJ_amreli,GJ_bhavnagar
GJ_amreli,GJ_botad
GJ_amreli,GJ_gir somnath
GJ_amreli,GJ_junagadh
GJ_amreli,GJ_rajkot
GJ_anand,GJ_bharuch
GJ_anand,GJ_kheda
GJ_anand,GJ_vadodara
GJ_aravalli,GJ_gandhinagar
GJ_aravalli,GJ_kheda
GJ_aravalli,GJ_mahisagar
GJ_aravalli,GJ_sabarkantha
GJ_aravalli,RJ_dungarpur
GJ_aravalli,RJ_udaipur
GJ_banaskantha,GJ_kutch
GJ_banaskantha,GJ_mehsana
GJ_banaskantha,GJ_patan
GJ_banaskantha,GJ_sabarkantha
GJ_banaskantha,RJ_jalore
GJ_banaskantha,RJ_sirohi
GJ_bharuch,GJ_narmada
GJ_bharuch,GJ_surat
GJ_bharuch,GJ_vadodara
GJ_bhavnagar,GJ_botad
GJ_botad,GJ_rajkot
GJ_botad,GJ_surendranagar
GJ_chhota udaipur,GJ_dahod
GJ_chhota udaipur,GJ_narmada
GJ_chhota udaipur,GJ_panchmahal
