District_Key,State,District,mvacc,fvacc
NL_Dimapur,Nagaland,Dimapur,161334.0,117438.0
NL_Kiphire,Nagaland,Kiphire,10313.0,5484.0
NL_Kohima,Nagaland,Kohima,69226.0,53099.0
NL_Longleng,Nagaland,Longleng,14398.0,11446.0
NL_Mokokchung,Nagaland,Mokokchung,45819.0,41113.0
NL_Mon,Nagaland,Mon,46795.0,36044.0
NL_Peren,Nagaland,Peren,13794.0,9299.0
NL_Phek,Nagaland,Phek,23634.0,15302.0
NL_Tuensang,Nagaland,Tuensang,26964.0,17165.0
NL_Wokha,Nagaland,Wokha,24020.0,20620.0
NL_Zunheboto,Nagaland,Zunheboto,24333.0,19561.0
OR_Angul,Odisha,Angul,263323.0,195222.0
OR_Balangir,Odisha,Balangir,339085.0,295824.0
OR_Balasore,Odisha,Balasore,498510.0,455350.0
OR_Bargarh,Odisha,Bargarh,286069.0,252237.0
OR_Bhadrak,Odisha,Bhadrak,351682.0,317146.0
OR_Boudh,Odisha,Boudh,88272.0,73619.0
OR_Cuttack,Odisha,Cuttack,667910.0,546707.0
OR_Deogarh,Odisha,Deogarh,74651.0,65319.0
OR_Dhenkanal,Odisha,Dhenkanal,281984.0,230933.0
OR_Gajapati,Odisha,Gajapati,117303.0,123347.0
OR_Ganjam,Odisha,Ganjam,979283.0,1005580.0
OR_Jagatsinghpur,Odisha,Jagatsinghpur,242701.0,199935.0
OR_Jajpur,Odisha,Jajpur,385009.0,307292.0
OR_Jharsuguda,Odisha,Jharsuguda,173821.0,137013.0
OR_Kalahandi,Odisha,Kalahandi,307083.0,277887.0
OR_Kandhamal,Odisha,Kandhamal,136155.0,146819.0
OR_Kendrapara,Odisha,Kendrapara,319630.0,304687.0
OR_Kendujhar,Odisha,Kendujhar,363538.0,325575.0
OR_Khordha,Odisha,Khordha,1394358.0,1108009.0
OR_Koraput,Odisha,Koraput,312962.0,332483.0
OR_Malkangiri,Odisha,Malkangiri,109015.0,106212.0
OR_Mayurbhanj,Odisha,Mayurbhanj,416805.0,404926.0
OR_Nabarangapur,Odisha,Nabarangapur,195863.0,202937.0
