districtid,timeid,dose1,dose2
AS_Morigaon,3,24313.0,3619.0
AS_Morigaon,4,25389.0,10729.0
AS_Morigaon,5,29771.0,2858.0
AS_Morigaon,6,100224.0,10713.0
AS_Morigaon,7,161768.0,21254.0
AS_Nagaon,1,8867.0,146.0
AS_Nagaon,2,19206.0,4688.0
AS_Nagaon,3,48250.0,12298.0
AS_Nagaon,4,69226.0,21085.0
AS_Nagaon,5,72462.0,9888.0
AS_Nagaon,6,171516.0,25011.0
AS_Nagaon,7,217827.0,59156.0
AS_Nalbari,1,3326.0,86.0
AS_Nalbari,2,5422.0,2278.0
AS_Nalbari,3,16732.0,4301.0
AS_Nalbari,4,31072.0,7357.0
AS_Nalbari,5,27856.0,2749.0
AS_Nalbari,6,60985.0,9061.0
AS_Nalbari,7,121165.0,25523.0
AS_Sivasagar,1,3648.0,70.0
AS_Sivasagar,2,9647.0,2542.0
AS_Sivasagar,3,21921.0,5820.0
AS_Sivasagar,4,34181.0,12569.0
AS_Sivasagar,5,26556.0,3802.0
AS_Sivasagar,6,96220.0,14625.0
AS_Sivasagar,7,156616.0,26101.0
AS_Sonitpur,1,5322.0,53.0
AS_Sonitpur,2,14801.0,3267.0
AS_Sonitpur,3,28923.0,10424.0
AS_Sonitpur,4,65716.0,19776.0
AS_Sonitpur,5,51467.0,32868.0
AS_Sonitpur,6,188781.0,32936.0
AS_Sonitpur,7,214779.0,36257.0
AS_South Salmara Mankachar,1,495.0,0.0
AS_South Salmara Mankachar,2,1863.0,194.0
AS_South Salmara Mankachar,3,2935.0,848.0
AS_South Salmara Mankachar,4,3438.0,2033.0
AS_South Salmara Mankachar,5,9882.0,230.0
AS_South Salmara Mankachar,6,35009.0,1518.0
AS_South Salmara Mankachar,7,93479.0,3664.0
AS_Tinsukia,1,5001.0,119.0
AS_Tinsukia,2,10503.0,3302.0
AS_Tinsukia,3,34876.0,4857.0
AS_Tinsukia,4,36541.0,13737.0
AS_Tinsukia,5,71512.0,3320.0
AS_Tinsukia,6,117459.0,15650.0
AS_Tinsukia,7,126154.0,40938.0
AS_Udalguri,1,2236.0,41.0
AS_Udalguri,2,6124.0,1660.0
AS_Udalguri,3,17286.0,4898.0
AS_Udalguri,4,24045.0,8736.0
AS_Udalguri,5,21968.0,1728.0
AS_Udalguri,6,54897.0,5011.0
AS_Udalguri,7,95285.0,22424.0
AS_West Karbi Anglong,1,747.0,0.0
AS_West Karbi Anglong,2,3048.0,623.0
AS_West Karbi Anglong,3,5973.0,1472.0
AS_West Karbi Anglong,4,6819.0,4319.0
AS_West Karbi Anglong,5,7008.0,620.0
AS_West Karbi Anglong,6,24364.0,1862.0
AS_West Karbi Anglong,7,26243.0,4223.0
BR_Araria,1,9202.0,0.0
BR_Araria,2,18650.0,4580.0
BR_Araria,3,54148.0,4583.0
BR_Araria,4,63971.0,13639.0
BR_Araria,5,70861.0,7096.0
BR_Araria,6,137312.0,30292.0
BR_Araria,7,212973.0,43634.0
BR_Arwal,1,3783.0,2.0
BR_Arwal,2,3429.0,2741.0
BR_Arwal,3,22999.0,2401.0
BR_Arwal,4,9214.0,7342.0
BR_Arwal,5,16590.0,296.0
BR_Arwal,6,55265.0,6159.0
BR_Arwal,7,102682.0,9535.0
BR_Aurangabad,1,8879.0,3.0
BR_Aurangabad,2,10572.0,5515.0
BR_Aurangabad,3,49346.0,7236.0
BR_Aurangabad,4,50338.0,14059.0
BR_Aurangabad,5,77358.0,3840.0
BR_Aurangabad,6,147514.0,11867.0
BR_Aurangabad,7,197448.0,28843.0
BR_Banka,1,6721.0,0.0
BR_Banka,2,22628.0,3873.0
BR_Banka,3,78949.0,10930.0
BR_Banka,4,31958.0,22247.0
BR_Banka,5,47014.0,1114.0
BR_Banka,6,150291.0,11900.0
BR_Banka,7,149966.0,27678.0
BR_Begusarai,1,11016.0,0.0
BR_Begusarai,2,16286.0,8531.0
BR_Begusarai,3,126182.0,10583.0
BR_Begusarai,4,74505.0,29804.0
BR_Begusarai,5,83753.0,1471.0
BR_Begusarai,6,157115.0,17654.0
BR_Begusarai,7,245069.0,44486.0
BR_Bhagalpur,1,14774.0,0.0
BR_Bhagalpur,2,33320.0,10008.0
BR_Bhagalpur,3,124084.0,13289.0
BR_Bhagalpur,4,67606.0,33569.0
BR_Bhagalpur,5,106450.0,4920.0
BR_Bhagalpur,6,276855.0,40463.0
BR_Bhagalpur,7,270946.0,68739.0
BR_Bhojpur,1,9893.0,0.0
BR_Bhojpur,2,10198.0,6089.0
BR_Bhojpur,3,89867.0,6233.0
BR_Bhojpur,4,61985.0,30598.0
BR_Bhojpur,5,67547.0,1738.0
BR_Bhojpur,6,130655.0,14627.0
BR_Bhojpur,7,225935.0,40266.0
BR_Buxar,1,6932.0,0.0
BR_Buxar,2,11214.0,4453.0
BR_Buxar,3,66798.0,5418.0
BR_Buxar,4,37209.0,21219.0
BR_Buxar,5,46989.0,1037.0
BR_Buxar,6,102881.0,11110.0
BR_Buxar,7,140152.0,32555.0
BR_Darbhanga,1,17393.0,0.0
BR_Darbhanga,2,21283.0,12482.0
BR_Darbhanga,3,138473.0,10863.0
BR_Darbhanga,4,109342.0,53065.0
BR_Darbhanga,5,139103.0,3008.0
BR_Darbhanga,6,209236.0,32208.0
BR_Darbhanga,7,342514.0,73986.0
BR_East Champaran,1,19491.0,0.0
BR_East Champaran,2,15570.0,10926.0
BR_East Champaran,3,110500.0,8929.0
BR_East Champaran,4,155015.0,36009.0
BR_East Champaran,5,150425.0,1877.0
BR_East Champaran,6,335076.0,26535.0
BR_East Champaran,7,396507.0,123536.0
BR_Gaya,1,25120.0,13.0
BR_Gaya,2,26338.0,16028.0
BR_Gaya,3,143253.0,17167.0
BR_Gaya,4,73641.0,32514.0
BR_Gaya,5,117100.0,33815.0
BR_Gaya,6,276662.0,49262.0
BR_Gaya,7,293925.0,53629.0
BR_Gopalganj,1,9617.0,0.0
BR_Gopalganj,2,16702.0,6426.0
BR_Gopalganj,3,77202.0,6891.0
BR_Gopalganj,4,58192.0,24848.0
BR_Gopalganj,5,75277.0,2712.0
BR_Gopalganj,6,134143.0,7572.0
BR_Gopalganj,7,164258.0,36093.0
BR_Jamui,1,6728.0,0.0
BR_Jamui,2,14645.0,4371.0
BR_Jamui,3,60576.0,6031.0
BR_Jamui,4,36099.0,16346.0
BR_Jamui,5,48818.0,1440.0
BR_Jamui,6,93398.0,8805.0
BR_Jamui,7,124843.0,22479.0
BR_Jehanabad,1,5875.0,0.0
BR_Jehanabad,2,3917.0,3783.0
BR_Jehanabad,3,40509.0,2839.0
BR_Jehanabad,4,24064.0,8417.0
BR_Jehanabad,5,38002.0,1543.0
BR_Jehanabad,6,64505.0,14239.0
BR_Jehanabad,7,106089.0,22391.0
BR_Kaimur,1,6727.0,0.0
BR_Kaimur,2,7645.0,4052.0
BR_Kaimur,3,55704.0,3417.0
BR_Kaimur,4,33399.0,12466.0
BR_Kaimur,5,45452.0,2025.0
BR_Kaimur,6,76284.0,8542.0
BR_Kaimur,7,118243.0,15238.0
BR_Katihar,1,13089.0,0.0
BR_Katihar,2,13993.0,8996.0
BR_Katihar,3,63593.0,7712.0
BR_Katihar,4,54844.0,21686.0
BR_Katihar,5,87260.0,1144.0
BR_Katihar,6,159232.0,14053.0
BR_Katihar,7,234212.0,36384.0
BR_Khagaria,1,7024.0,3.0
BR_Khagaria,2,9270.0,4910.0
BR_Khagaria,3,49325.0,4747.0
BR_Khagaria,4,35506.0,12705.0
BR_Khagaria,5,36891.0,1160.0
BR_Khagaria,6,69780.0,7731.0
BR_Khagaria,7,158969.0,25512.0
BR_Kishanganj,1,8844.0,0.0
BR_Kishanganj,2,10616.0,5464.0
BR_Kishanganj,3,42521.0,6676.0
BR_Kishanganj,4,28236.0,14640.0
BR_Kishanganj,5,44865.0,670.0
BR_Kishanganj,6,86645.0,4997.0
BR_Kishanganj,7,114723.0,17806.0
BR_Lakhisarai,1,3773.0,0.0
BR_Lakhisarai,2,5029.0,2389.0
BR_Lakhisarai,3,24840.0,3235.0
BR_Lakhisarai,4,18761.0,7178.0
BR_Lakhisarai,5,24876.0,571.0
BR_Lakhisarai,6,56872.0,5640.0
BR_Lakhisarai,7,86884.0,14917.0
BR_Madhepura,1,9680.0,0.0
BR_Madhepura,2,12919.0,6240.0
